Outlet,Date,Time,NetSales,Tax,TotalAmount,ReceiptNumber,Items,TotalItem,PaymentMethod,UseLoyaltyCard
SHOP001,2025-08-01,07:04:27,37837.838,4162.162,42000,SHOP001AUG2500001,"Soft Tea, Creamy Klepon",2,Cash,0
SHOP001,2025-08-01,07:04:38,20720.721,2279.279,23000,SHOP001AUG2500002,Basic Latte (Hot Arabica),1,BCA,0
SHOP001,2025-08-01,07:06:53,33333.333,3666.667,37000,SHOP001AUG2500003,"Matcha Espresso, Banana Bread (Chocolate)",2,BCA,0
SHOP002,2025-08-01,07:19:38,20720.721,2279.279,23000,SHOP002AUG2500001,Summer,1,BCA,0
SHOP001,2025-08-01,07:24:14,27027.027,2972.973,30000,SHOP001AUG2500004,WHITE (Arabica),1,BCA,0
SHOP001,2025-08-01,07:37:09,37837.838,4162.162,42000,SHOP001AUG2500005,"Gula Gula, Vanilla Latte (Gedhe)",2,Cash,0
SHOP002,2025-08-01,07:48:13,4504.505,495.495,5000,SHOP002AUG2500002,Air Mineral,1,BCA,0
SHOP001,2025-08-01,07:48:16,27027.027,2972.973,30000,SHOP001AUG2500006,Friendly Coffee (Gedhe),1,BCA,0
SHOP001,2025-08-01,07:48:25,20720.721,2279.279,23000,SHOP001AUG2500007,Sunset,1,BCA,0
SHOP001,2025-08-01,07:48:36,18018.018,1981.982,20000,SHOP001AUG2500008,Chamomile,1,Cash,0
SHOP001,2025-08-01,07:52:55,47747.748,5252.252,53000,SHOP001AUG2500009,"WHITE, Friendly Coffee (Ice double shot)",2,BCA,0
SHOP002,2025-08-01,07:53:36,18918.919,2081.081,21000,SHOP002AUG2500003,Green Apple,1,BCA,0
SHOP001,2025-08-01,07:55:03,36036.036,3963.964,40000,SHOP001AUG2500010,"Americano (Hot Houseblend), BLACK",2,BCA,0
SHOP001,2025-08-01,08:01:36,18018.018,1981.982,20000,SHOP001AUG2500011,Americano (Hot Arabica),1,BCA,0
SHOP002,2025-08-01,08:12:39,21621.622,2378.378,24000,SHOP002AUG2500004,Biru,1,BCA,0
SHOP001,2025-08-01,08:53:48,21621.622,2378.378,24000,SHOP001AUG2500012,Forbidden Berry,1,BCA,0
SHOP001,2025-08-01,08:55:32,45945.946,5054.054,51000,SHOP001AUG2500013,"Jasmine (Hot), Hazelnut Latte (Gedhe)",2,BCA,0
SHOP001,2025-08-01,08:56:26,20720.721,2279.279,23000,SHOP001AUG2500014,Basic Latte (Hot Houseblend),1,Cash,0
SHOP003,2025-08-01,09:04:11,18918.919,2081.081,21000,SHOP003AUG2500001,Lemon Tea (Ice),1,BCA,0
SHOP003,2025-08-01,09:04:42,10810.811,1189.189,12000,SHOP003AUG2500002,Nutella Meses,1,Cash,0
SHOP003,2025-08-01,09:15:54,40540.541,4459.459,45000,SHOP003AUG2500003,"Matchapresso, Americano (Ice Arabica)",2,BCA,0
SHOP003,2025-08-01,09:17:32,25225.225,2774.775,28000,SHOP003AUG2500004,Croffle,1,BCA,0
SHOP003,2025-08-01,09:18:12,10810.811,1189.189,12000,SHOP003AUG2500005,Banana Bread (Original),1,BCA,0
SHOP003,2025-08-01,09:18:19,27027.027,2972.973,30000,SHOP003AUG2500006,WHITE (Houseblend),1,BCA,0
SHOP002,2025-08-01,09:18:33,10810.811,1189.189,12000,SHOP002AUG2500005,Nutella Meses,1,BCA,0
SHOP003,2025-08-01,09:19:50,27027.027,2972.973,30000,SHOP003AUG2500007,Butterscotch Latte (Gedhe),1,BCA,0
SHOP002,2025-08-01,09:20:28,22522.523,2477.477,25000,SHOP002AUG2500006,Chocolate (Hot),1,BCA,0
SHOP001,2025-08-01,09:23:57,21621.622,2378.378,24000,SHOP001AUG2500015,Sitrus Cafe,1,BCA,0
SHOP001,2025-08-01,09:29:16,27027.027,2972.973,30000,SHOP001AUG2500016,Biru (Gedhe),1,Cash,0
SHOP001,2025-08-01,09:33:07,20720.721,2279.279,23000,SHOP001AUG2500017,Friendly Coffee (Hot double shot),1,BCA,0
SHOP003,2025-08-01,09:49:19,20720.721,2279.279,23000,SHOP003AUG2500008,Basic Latte (Ice Houseblend),1,BCA,0
SHOP003,2025-08-01,09:51:33,40540.541,4459.459,45000,SHOP003AUG2500009,"Matcha Latte (Hot), Lemon Tea (Ice)",2,BCA,0
SHOP003,2025-08-01,09:53:02,22522.523,2477.477,25000,SHOP003AUG2500010,Matchapresso,1,BCA,0
SHOP003,2025-08-01,09:54:00,10810.811,1189.189,12000,SHOP003AUG2500011,Banana Bread (Original),1,BCA,0
SHOP001,2025-08-01,09:55:21,20720.721,2279.279,23000,SHOP001AUG2500018,Vanilla Latte,1,BCA,0
SHOP003,2025-08-01,10:03:02,48648.649,5351.351,54000,SHOP003AUG2500012,"Happy Moca (Hot), Creamy Klepon",2,BCA,0
SHOP001,2025-08-01,10:05:04,22522.523,2477.477,25000,SHOP001AUG2500019,Chocolate (Hot),1,BCA,0
SHOP002,2025-08-01,10:08:23,34234.234,3765.766,38000,SHOP002AUG2500007,"Red Liquid, Nostaltea",2,Cash,0
SHOP003,2025-08-01,10:20:36,10810.811,1189.189,12000,SHOP003AUG2500013,Banana Bread (Original),1,BCA,0
SHOP003,2025-08-01,10:25:54,10810.811,1189.189,12000,SHOP003AUG2500014,Banana Bread (Original),1,BCA,0
SHOP003,2025-08-01,10:31:29,18918.919,2081.081,21000,SHOP003AUG2500015,Shakencano,1,BCA,0
SHOP002,2025-08-01,10:39:32,18018.018,1981.982,20000,SHOP002AUG2500008,Chamomile,1,Cash,0
SHOP002,2025-08-01,10:40:57,18018.018,1981.982,20000,SHOP002AUG2500009,Americano (Hot Arabica),1,BCA,0
SHOP003,2025-08-01,10:44:47,27027.027,2972.973,30000,SHOP003AUG2500016,Friendly Coffee (Gedhe),1,BCA,0
SHOP001,2025-08-01,10:51:37,39639.64,4360.36,44000,SHOP001AUG2500020,"Basic Latte (Ice Houseblend), Shakencano",2,BCA,0
SHOP002,2025-08-01,10:58:50,38738.739,4261.261,43000,SHOP002AUG2500010,"Black Rice (Ice), Lemons",2,BCA,0
SHOP003,2025-08-01,11:01:13,21621.622,2378.378,24000,SHOP003AUG2500017,Matcha Latte (Ice),1,BCA,0
SHOP001,2025-08-01,11:02:02,20720.721,2279.279,23000,SHOP001AUG2500021,Basic Latte (Hot Arabica),1,BCA,0
SHOP001,2025-08-01,11:06:38,22522.523,2477.477,25000,SHOP001AUG2500022,Matcha Espresso,1,BCA,0
SHOP001,2025-08-01,11:10:43,20720.721,2279.279,23000,SHOP001AUG2500023,Basic Latte (Ice Arabica),1,BCA,0
SHOP002,2025-08-01,11:23:35,54054.054,5945.946,60000,SHOP002AUG2500011,"Chocolate (Gedhe), WHITE (Arabica)",2,Cash,0
SHOP001,2025-08-01,11:23:47,27027.027,2972.973,30000,SHOP001AUG2500024,Creamy Chocolate Cake,1,BCA,0
SHOP001,2025-08-01,11:24:44,27027.027,2972.973,30000,SHOP001AUG2500025,Vanilla Latte (Gedhe),1,Cash,0
SHOP003,2025-08-01,11:39:29,31531.532,3468.468,35000,SHOP003AUG2500018,"Banana Bread (Original), Friendly Coffee (Ice)",2,BCA,0
SHOP003,2025-08-01,11:40:27,18918.919,2081.081,21000,SHOP003AUG2500019,Jasmine (Ice),1,BCA,0
SHOP002,2025-08-01,11:43:07,19819.82,2180.18,22000,SHOP002AUG2500012,Cappuccino (Ice Houseblend),1,BCA,0
SHOP001,2025-08-01,11:46:18,19819.82,2180.18,22000,SHOP001AUG2500026,Cappuccino (Ice Houseblend),1,BCA,0
SHOP003,2025-08-01,11:49:41,0.0,0.0,0,SHOP003AUG2500020,Basic Latte (Ice Houseblend),1,Cash,1
SHOP001,2025-08-01,11:49:54,21621.622,2378.378,24000,SHOP001AUG2500027,Matcha Latte (Hot),1,BCA,0
SHOP003,2025-08-01,11:56:39,27027.027,2972.973,30000,SHOP003AUG2500021,Biru (Gedhe),1,BCA,0
